id,Unnamed: 0,userid,日期,转发数,评论数,点赞数,正文,Cache,以往平均转发,以往平均评论数,以往平均赞数,关注度,活跃度,是否工作日,是否有链接,是否有标题,是否有表情,是否有@,文本长度
4441918849583672,10,1903207591,2019-11-23,534,554,1186,以前我以为一见钟情是两个人第一眼就陷入爱情，从此两个人过上幸福的生活。后来，我才明白，一见钟情多半是，你好，再见，然后一辈子也忘不了四目相对那一刻全世界只剩下彼此。后来怎么回忆不起对方的具体面貌，但是那种感觉历久弥新。心脏漏了一拍，所有背景都虚设。但是一见钟情，终究是跨不过现实的鸿沟，有缘无分，最终消失在人海，只记得时间停止的那一刻是属于我们的。#该不该相信一见钟情#,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,1,0,0,185
4441844609612372,11,1903207591,2019-11-23,548,567,1390,今日话题：#情侣三观不合该不该分手#三观不合，大概是人们最常听到的分手理由。好像三观不合这个词可以概括很多内容，你们对生活的期待和要求不一样，你们的价值观不一样、消费观不一样、人生观也不一样、对感情的理解也不一样……  ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,1,0,0,110
4441704138176989,13,1903207591,2019-11-23,267,157,1125,一直深信你心里有我 是我做过最蠢的事 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,0,0,0,19
4440830334530171,19,1903207591,2019-11-20,260,169,1330,我喜欢郭德纲的一句话:不要逢人就诉苦 人心口难测 看你笑话的人永远比在乎你的人多 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,0,0,0,41
4440254847509765,26,1903207591,2019-11-19,303,189,1603,好心情入睡的条件：“要么喜欢的人和你聊天，要么游戏最后一局赢了”。 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,0,0,0,34
4439969517435211,28,1903207591,2019-11-18,549,570,1280,今日话题：#婚后还需要保持仪式感吗#要知道经营一段感情，就像养一盆花，要想让花开得漂亮，就要懂得浇水打理，要让感情之藤保持长青，同样的，你要学会为之保鲜。正如人们所说，婚后的爱情需要仪式感去滋养，同时也需要通过仪式感去维护和经营。 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,1,0,0,116
4439891712290514,30,1903207591,2019-11-18,315,160,1410,错就错在 你太清楚自己想要什么了 所以你推开一切可能的开始 无能的悲观主义者 所以你一直不快乐 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,0,0,0,48
4438891899552326,40,1903207591,2019-11-15,106,123,1873,今日投票：#合适与喜欢哪个更重要# 想见你了的微博投票 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,1,0,0,28
4438870470644817,41,1903207591,2019-11-15,592,653,1558,今日话题：#合适与喜欢哪个更重要#择偶是一个人一辈子的事情，也是人的终身大事。但是由于每个人都是充满各种优缺点的，很多时候由于缘分的问题，就会遇到各种类型不同的人。没有谁是天生为别人所生的，那么如果遇到自己喜欢的和适合自己的，哪个会比较重要呢？ ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,1,0,0,123
4438679844144915,43,1903207591,2019-11-15,12,386,450,睡觉的时候数小羊，数到第二十二只的时候它突然大叫：祝你生日快乐！吓得我赶紧发了条微博 ,617 119192 132532 1063344,193.17990275526742,214.80064829821717,1723.4100486223663,1315068,617,0,0,0,0,0,43
